Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
Nepal,NPL,1991,Forest area (sq. km),AG.LND.FRST.K2,56828.76
Nepal,NPL,1990,Forest area (sq. km),AG.LND.FRST.K2,56720
Nepal,NPL,2023,Forest area (% of land area),AG.LND.FRST.ZS,41.5907220090687
Nepal,NPL,2022,Forest area (% of land area),AG.LND.FRST.ZS,41.5907220090687
Nepal,NPL,2021,Forest area (% of land area),AG.LND.FRST.ZS,41.5907220090687
Nepal,NPL,2020,Forest area (% of land area),AG.LND.FRST.ZS,41.5907220090687
Nepal,NPL,2019,Forest area (% of land area),AG.LND.FRST.ZS,41.5907220090687
Nepal,NPL,2018,Forest area (% of land area),AG.LND.FRST.ZS,41.5907220090687
Nepal,NPL,2017,Forest area (% of land area),AG.LND.FRST.ZS,41.5907220090687
Nepal,NPL,2016,Forest area (% of land area),AG.LND.FRST.ZS,41.5907220090687
Nepal,NPL,2015,Forest area (% of land area),AG.LND.FRST.ZS,41.5907220090687
Nepal,NPL,2014,Forest area (% of land area),AG.LND.FRST.ZS,41.5907220090687
Nepal,NPL,2013,Forest area (% of land area),AG.LND.FRST.ZS,41.5907220090687
Nepal,NPL,2012,Forest area (% of land area),AG.LND.FRST.ZS,41.5907220090687
Nepal,NPL,2011,Forest area (% of land area),AG.LND.FRST.ZS,41.5907220090687
Nepal,NPL,2010,Forest area (% of land area),AG.LND.FRST.ZS,41.5907220090687
Nepal,NPL,2009,Forest area (% of land area),AG.LND.FRST.ZS,41.464269271015
Nepal,NPL,2008,Forest area (% of land area),AG.LND.FRST.ZS,41.3378165329613
Nepal,NPL,2007,Forest area (% of land area),AG.LND.FRST.ZS,41.2113637949076
Nepal,NPL,2006,Forest area (% of land area),AG.LND.FRST.ZS,41.0849110568539
Nepal,NPL,2005,Forest area (% of land area),AG.LND.FRST.ZS,40.9584583188001
Nepal,NPL,2004,Forest area (% of land area),AG.LND.FRST.ZS,40.8320055807464
Nepal,NPL,2003,Forest area (% of land area),AG.LND.FRST.ZS,40.7055528426927
Nepal,NPL,2002,Forest area (% of land area),AG.LND.FRST.ZS,40.579100104639
Nepal,NPL,2001,Forest area (% of land area),AG.LND.FRST.ZS,40.4526473665853
Nepal,NPL,2000,Forest area (% of land area),AG.LND.FRST.ZS,40.3261946285316
Nepal,NPL,1999,Forest area (% of land area),AG.LND.FRST.ZS,40.3488391608392
Nepal,NPL,1998,Forest area (% of land area),AG.LND.FRST.ZS,40.2727832167832
Nepal,NPL,1997,Forest area (% of land area),AG.LND.FRST.ZS,40.1967272727273
Nepal,NPL,1996,Forest area (% of land area),AG.LND.FRST.ZS,40.1206713286713
Nepal,NPL,1995,Forest area (% of land area),AG.LND.FRST.ZS,40.0446153846154
Nepal,NPL,1994,Forest area (% of land area),AG.LND.FRST.ZS,39.9685594405594
Nepal,NPL,1993,Forest area (% of land area),AG.LND.FRST.ZS,39.8925034965035
Nepal,NPL,1992,Forest area (% of land area),AG.LND.FRST.ZS,39.8164475524475
Nepal,NPL,1991,Forest area (% of land area),AG.LND.FRST.ZS,39.7403916083916
Nepal,NPL,1990,Forest area (% of land area),AG.LND.FRST.ZS,39.6643356643357
Nepal,NPL,2023,Agricultural irrigated land (% of total agricultural land),AG.LND.IRIG.AG.ZS,32.2908041986058
Nepal,NPL,2022,Agricultural irrigated land (% of total agricultural land),AG.LND.IRIG.AG.ZS,32.287354787021
Nepal,NPL,2010,Agricultural irrigated land (% of total agricultural land),AG.LND.IRIG.AG.ZS,29.738245273873
Nepal,NPL,2009,Agricultural irrigated land (% of total agricultural land),AG.LND.IRIG.AG.ZS,26.4009661835749
Nepal,NPL,2008,Agricultural irrigated land (% of total agricultural land),AG.LND.IRIG.AG.ZS,25.8670520231214
Nepal,NPL,2007,Agricultural irrigated land (% of total agricultural land),AG.LND.IRIG.AG.ZS,25.4200672107537
Nepal,NPL,2006,Agricultural irrigated land (% of total agricultural land),AG.LND.IRIG.AG.ZS,24.6356033452808
Nepal,NPL,2022,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1500
Nepal,NPL,2021,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1500
Nepal,NPL,2020,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1500
Nepal,NPL,2019,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1500
Nepal,NPL,2018,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1500
Nepal,NPL,2017,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1500
Nepal,NPL,2016,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1500
